match_id;date;team;player;jersey;starter;minutes;points;rebounds;assists;fouls;turnovers;steals;blocks;plus_minus;efficiency;MIN_FL;FGA;FGM;FG3A;FG3M;FTA;FTM;OREB;DREB;Home_Team_Name;Is_Home;Arc3_Attempts;Corner3_Attempts;MidRange_Attempts;Rim_Attempts;Arc3_Made;Corner3_Made;MidRange_Made;Rim_Made;Arc3_Points;Corner3_Points;MidRange_Points;Rim_Points;Rim_Freq;Rim_PPS;MidRange_Freq;MidRange_PPS;Corner3_Freq;Corner3_PPS;Arc3_Freq;Arc3_PPS;Tm_MIN;Tm_FGA;Tm_FTA;Tm_TOV;Tm_REB;Tm_OREB;Tm_PTS;Poss;USG%;ORtg;TS%;eFG%;Reb_Share;Scoring_Share;Fouls_Per_Min;Blowout_Factor;Clutch_FGA;Clutch_FGM;Clutch_FG%;opponent;Opp_Avg_Pts_Allowed;Opp_FG_Allowed;Consistency_Index;Days_Rest;Season_Weight
2309844;2023-09-23;bk opava;a. pechacek;0;0;5:38;2;2;0;1;1;0;0;4;2;5.633333333333333;2.0;1.0;1.0;0.0;0.0;0.0;0.0;2.0;nh ostrava;0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.5;2.0;0.0;0.0;0.5;0.0;225.0;67.0;46.0;15;41;11.0;102;3.0;23.439453287773986;66.66666666666666;0.5;0.5;0.04878048780487805;0.0196078431372549;0.1775147928994083;0.7100591715976332;0.0;0.0;0.0;nh ostrava;102.0;0.3880597014925373;0.0;7.0;0.7
2517865;2024-09-21;usk praha;b. schilb;24;1;26:21;6;3;3;0;2;3;0;-1;8;26.35;7.0;2.0;7.0;2.0;0.0;0.0;0.0;3.0;usk praha;1;5.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.7142857142857143;1.2;199.98333333333332;62.0;30.0;13;37;12.0;98;9.0;15.488776155623537;66.66666666666666;0.42857142857142855;0.42857142857142855;0.08108108108108109;0.061224489795918366;0.0;-0.03795066413662239;0.0;0.0;0.0;gba fruko-schulz jindrichuv hradec;98.0;0.532258064516129;0.0;7.0;0.7
2517865;2024-09-21;gba fruko-schulz jindrichuv hradec;c. bajema;2;1;36:08;16;5;3;3;0;3;1;-5;19;36.13333333333333;13.0;5.0;7.0;2.0;5.0;4.0;0.0;5.0;usk praha;0;7.0;0.0;0.0;6.0;2.0;0.0;0.0;3.0;6.0;0.0;0.0;6.0;0.46153846153846156;1.0;0.0;0.0;0.0;0.0;0.5384615384615384;0.8571428571428571;200.0;65.0;21.0;7;26;9.0;86;15.2;20.712171671199727;105.26315789473684;0.5263157894736842;0.46153846153846156;0.19230769230769232;0.18604651162790697;0.08302583025830258;-0.13837638376383765;0.0;0.0;0.0;usk praha;86.0;0.4307692307692308;0.0;7.0;0.7
2309844;2023-09-23;nh ostrava;c. jeter;4;1;25:18;20;8;1;4;6;0;1;5;20;25.3;11.0;8.0;1.0;0.0;5.0;4.0;5.0;3.0;nh ostrava;1;1.0;0.0;3.0;7.0;0.0;0.0;2.0;6.0;0.0;0.0;4.0;12.0;0.6363636363636364;1.7142857142857142;0.2727272727272727;1.3333333333333333;0.0;0.0;0.09090909090909091;0.0;225.0;76.0;28.0;16;46;17.0;96;14.2;32.7360023278935;140.84507042253523;0.7575757575757576;0.7272727272727273;0.17391304347826086;0.20833333333333334;0.15810276679841898;0.1976284584980237;0.0;0.0;0.0;bk opava;96.0;0.40789473684210525;0.0;7.0;0.7
2309844;2023-09-23;nh ostrava;d. heinzl;7;0;12:34;4;7;0;3;3;0;0;-17;6;12.566666666666666;3.0;1.0;1.0;0.0;2.0;2.0;5.0;2.0;nh ostrava;1;0.0;1.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.6666666666666666;1.0;0.3333333333333333;0.0;0.0;0.0;225.0;76.0;28.0;16;46;17.0;96;1.88;23.61637727620381;212.7659574468085;0.5154639175257733;0.3333333333333333;0.15217391304347827;0.041666666666666664;0.2387267904509284;-1.3527851458885942;0.0;0.0;0.0;bk opava;96.0;0.40789473684210525;0.0;7.0;0.7
2309844;2023-09-23;nh ostrava;d. jakel;9;0;0:00;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;nh ostrava;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;225.0;76.0;28.0;16;46;17.0;96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;bk opava;96.0;0.40789473684210525;0.0;7.0;0.7
2517865;2024-09-21;usk praha;d. vlk;13;0;15:50;5;4;0;0;0;0;0;16;4;15.833333333333334;7.0;2.0;1.0;0.0;1.0;1.0;3.0;1.0;usk praha;1;1.0;0.0;0.0;6.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;4.0;0.8571428571428571;0.6666666666666666;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;199.98333333333332;62.0;30.0;13;37;12.0;98;4.44;21.308643036161833;112.6126126126126;0.33602150537634407;0.2857142857142857;0.10810810810810811;0.05102040816326531;0.0;1.0105263157894737;0.0;0.0;0.0;gba fruko-schulz jindrichuv hradec;98.0;0.532258064516129;0.0;7.0;0.7
2309844;2023-09-23;nh ostrava;e. weaver;0;1;41:05;19;6;5;5;2;0;0;3;18;41.083333333333336;15.0;5.0;6.0;2.0;7.0;7.0;0.0;6.0;nh ostrava;1;5.0;1.0;0.0;9.0;2.0;0.0;0.0;3.0;6.0;0.0;0.0;6.0;0.6;0.6666666666666666;0.0;0.0;0.06666666666666667;0.0;0.3333333333333333;1.2;225.0;76.0;28.0;16;46;17.0;96;20.08;21.08351273659453;94.62151394422311;0.5254424778761062;0.4;0.13043478260869565;0.19791666666666666;0.12170385395537525;0.07302231237322515;1.0;1.0;1.0;bk opava;96.0;0.40789473684210525;0.0;7.0;0.7
2309844;2023-09-23;nh ostrava;e. williams;21;1;38:45;16;10;4;4;0;1;1;0;24;38.75;14.0;6.0;6.0;2.0;2.0;2.0;2.0;8.0;nh ostrava;1;6.0;0.0;5.0;3.0;2.0;0.0;1.0;3.0;6.0;0.0;2.0;6.0;0.21428571428571427;2.0;0.35714285714285715;0.4;0.0;0.0;0.42857142857142855;1.0;225.0;76.0;28.0;16;46;17.0;96;12.88;16.564417177914113;124.22360248447204;0.5376344086021505;0.5;0.21739130434782608;0.16666666666666666;0.1032258064516129;0.0;2.0;1.0;0.5;bk opava;96.0;0.40789473684210525;0.0;7.0;0.7
2517865;2024-09-21;usk praha;f. fuxa;21;0;18:38;4;2;2;3;1;0;0;16;4;18.633333333333333;2.0;1.0;1.0;0.0;4.0;2.0;1.0;1.0;usk praha;1;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.5;2.0;0.0;0.0;0.5;0.0;0.0;0.0;199.98333333333332;62.0;30.0;13;37;12.0;98;3.76;11.584348468069395;106.38297872340425;0.5319148936170213;0.5;0.05405405405405406;0.04081632653061224;0.16100178890876565;0.8586762075134169;0.0;0.0;0.0;gba fruko-schulz jindrichuv hradec;98.0;0.532258064516129;0.0;7.0;0.7
2517865;2024-09-21;gba fruko-schulz jindrichuv hradec;f. kabrt;8;0;21:58;8;4;2;3;0;1;0;-9;12;21.966666666666665;5.0;2.0;2.0;0.0;4.0;4.0;1.0;3.0;usk praha;0;2.0;0.0;1.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;4.0;0.4;2.0;0.2;0.0;0.0;0.0;0.4;0.0;200.0;65.0;21.0;7;26;9.0;86;5.76;15.15209249052434;138.88888888888889;0.591715976331361;0.4;0.15384615384615385;0.09302325581395349;0.13657056145675267;-0.409711684370258;0.0;0.0;0.0;usk praha;86.0;0.4307692307692308;0.0;7.0;0.7
2309844;2023-09-23;bk opava;f. zbranek;9;0;12:48;4;2;1;0;0;0;0;6;4;12.8;3.0;0.0;2.0;0.0;4.0;4.0;1.0;1.0;nh ostrava;0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.6666666666666666;0.0;225.0;67.0;46.0;15;41;11.0;102;3.76;16.367737676056336;106.38297872340425;0.42016806722689076;0.0;0.04878048780487805;0.0392156862745098;0.0;0.46875;0.0;0.0;0.0;nh ostrava;102.0;0.3880597014925373;0.0;7.0;0.7
2517865;2024-09-21;gba fruko-schulz jindrichuv hradec;g. wiznitzer;11;1;20:40;2;2;1;4;4;0;1;-2;1;20.666666666666668;2.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;usk praha;0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;200.0;65.0;21.0;7;26;9.0;86;5.0;14.29456330109115;40.0;0.5;0.5;0.07692307692307693;0.023255813953488372;0.1935483870967742;-0.0967741935483871;0.0;0.0;0.0;usk praha;86.0;0.4307692307692308;0.0;7.0;0.7
2517865;2024-09-21;usk praha;h. ibarguen mosquera;23;1;22:40;12;6;0;2;3;0;1;-8;11;22.666666666666668;11.0;6.0;0.0;0.0;0.0;0.0;2.0;4.0;usk praha;1;0.0;0.0;2.0;9.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;12.0;0.8181818181818182;1.3333333333333333;0.18181818181818182;0.0;0.0;0.0;0.0;0.0;199.98333333333332;62.0;30.0;13;37;12.0;98;12.0;28.008870214752562;100.0;0.5454545454545454;0.5454545454545454;0.16216216216216217;0.12244897959183673;0.08823529411764705;-0.3529411764705882;0.0;0.0;0.0;gba fruko-schulz jindrichuv hradec;98.0;0.532258064516129;0.0;7.0;0.7
2517865;2024-09-21;usk praha;j. bruce;1;0;10:12;5;5;0;2;2;0;1;6;8;10.2;2.0;1.0;0.0;0.0;3.0;3.0;1.0;4.0;usk praha;1;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;199.98333333333332;62.0;30.0;13;37;12.0;98;4.32;23.65193484801328;115.74074074074075;0.753012048192771;0.5;0.13513513513513514;0.05102040816326531;0.19607843137254904;0.5882352941176471;0.0;0.0;0.0;gba fruko-schulz jindrichuv hradec;98.0;0.532258064516129;0.0;7.0;0.7
2517865;2024-09-21;usk praha;j. campbell;2;1;26:15;32;6;1;4;2;0;1;7;33;26.25;13.0;10.0;9.0;6.0;8.0;6.0;2.0;4.0;usk praha;1;6.0;3.0;0.0;4.0;4.0;2.0;0.0;4.0;12.0;6.0;0.0;8.0;0.3076923076923077;2.0;0.0;0.0;0.23076923076923078;2.0;0.46153846153846156;2.0;199.98333333333332;62.0;30.0;13;37;12.0;98;16.52;31.993878270885073;193.7046004842615;0.9685230024213075;1.0;0.16216216216216217;0.32653061224489793;0.1523809523809524;0.26666666666666666;0.0;0.0;0.0;gba fruko-schulz jindrichuv hradec;98.0;0.532258064516129;0.0;7.0;0.7
2517865;2024-09-21;gba fruko-schulz jindrichuv hradec;j. fairweather;0;1;30:47;22;4;8;4;2;2;0;-5;23;30.783333333333335;16.0;8.0;8.0;3.0;6.0;3.0;0.0;4.0;usk praha;0;4.0;4.0;5.0;3.0;2.0;1.0;3.0;2.0;6.0;3.0;6.0;4.0;0.1875;1.3333333333333333;0.3125;1.2;0.25;0.75;0.25;1.5;200.0;65.0;21.0;7;26;9.0;86;20.64;33.01293406450158;106.5891472868217;0.5901287553648068;0.59375;0.15384615384615385;0.2558139534883721;0.12994044396318352;-0.16242555495397942;0.0;0.0;0.0;usk praha;86.0;0.4307692307692308;0.0;7.0;0.7
2309844;2023-09-23;nh ostrava;j. micka;78;0;13:23;2;1;0;2;2;0;0;1;-2;13.383333333333333;4.0;1.0;2.0;0.0;0.0;0.0;1.0;0.0;nh ostrava;1;1.0;1.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.5;1.0;0.25;0.0;0.25;0.0;225.0;76.0;28.0;16;46;17.0;96;5.0;19.338905484800097;40.0;0.25;0.25;0.021739130434782608;0.020833333333333332;0.14943960149439603;0.07471980074719801;0.0;0.0;0.0;bk opava;96.0;0.40789473684210525;0.0;7.0;0.7
2517865;2024-09-21;gba fruko-schulz jindrichuv hradec;j. micka;78;0;16:46;2;3;0;4;0;0;0;-4;2;16.766666666666666;4.0;1.0;1.0;0.0;0.0;0.0;3.0;0.0;usk praha;0;1.0;0.0;1.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.5;0.0;0.25;2.0;0.0;0.0;0.25;0.0;200.0;65.0;21.0;7;26;9.0;86;1.0;11.746360830585175;200.0;0.25;0.25;0.11538461538461539;0.023255813953488372;0.2385685884691849;-0.2385685884691849;0.0;0.0;0.0;usk praha;86.0;0.4307692307692308;0.0;364.0;0.7
2309844;2023-09-23;bk opava;j. mokran;18;1;26:40;17;6;2;5;2;0;0;-5;21;26.666666666666668;9.0;7.0;2.0;1.0;2.0;2.0;2.0;4.0;nh ostrava;0;2.0;0.0;4.0;3.0;1.0;0.0;3.0;3.0;3.0;0.0;6.0;6.0;0.3333333333333333;2.0;0.4444444444444444;1.5;0.0;0.0;0.2222222222222222;1.5;225.0;67.0;46.0;15;41;11.0;102;9.88;19.608274647887324;172.06477732793522;0.8603238866396761;0.8333333333333334;0.14634146341463414;0.16666666666666666;0.1875;-0.1875;1.0;0.0;0.0;nh ostrava;102.0;0.3880597014925373;0.0;7.0;0.7
2309844;2023-09-23;bk opava;j. sirina;24;1;34:13;28;2;8;2;0;2;0;-1;32;34.21666666666667;10.0;5.0;3.0;2.0;19.0;16.0;0.0;2.0;nh ostrava;0;3.0;0.0;3.0;4.0;2.0;0.0;2.0;1.0;6.0;0.0;4.0;2.0;0.4;0.5;0.3;1.3333333333333333;0.0;0.0;0.3;2.0;225.0;67.0;46.0;15;41;11.0;102;18.36;23.617104477816728;152.5054466230937;0.7625272331154684;0.6;0.04878048780487805;0.27450980392156865;0.058451047247929856;-0.029225523623964928;2.0;0.0;0.0;nh ostrava;102.0;0.3880597014925373;0.0;7.0;0.7
